Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,gini,income_per_capita,fertility,child_mortality,labor_ppt_25-54
Finland,Western Europe,7.842,10.775,0.954,72.0,0.949,-0.098,0.186,27.1,43500.0,1.79,1.52,86.2
Denmark,Western Europe,7.62,10.933,0.954,72.7,0.946,0.03,0.179,28.2,49500.0,1.78,3.85,87.2
Switzerland,Western Europe,7.571,11.117,0.942,74.4,0.919,0.025,0.292,32.3,59300.0,1.56,3.81,90.9
Iceland,Western Europe,7.554,10.878,0.983,73.0,0.955,0.16,0.673,27.8,47800.0,1.89,1.85,90.9
Netherlands,Western Europe,7.464,10.932,0.942,72.4,0.913,0.175,0.338,28.2,51800.0,1.76,3.42,87.8
Norway,Western Europe,7.392,11.053,0.954,73.3,0.96,0.093,0.27,27.5,68200.0,1.83,2.27,86.4
Sweden,Western Europe,7.363,10.867,0.934,72.7,0.945,0.086,0.237,29.0,48000.0,1.91,2.44,91.6
Luxembourg,Western Europe,7.324,11.647,0.908,72.6,0.907,-0.034,0.386,33.8,95800.0,1.62,2.26,88.1
New Zealand,North America and ANZ,7.277,10.643,0.948,73.4,0.929,0.134,0.242,35.0,37000.0,1.94,5.47,86.8
Austria,Western Europe,7.268,10.906,0.934,73.3,0.908,0.042,0.481,30.5,47800.0,1.55,3.04,88.8
Australia,North America and ANZ,7.183,10.796,0.94,73.9,0.914,0.159,0.442,32.3,46200.0,1.81,3.41,84.1
Israel,Middle East and North Africa,7.157,10.575,0.939,73.503,0.8,0.031,0.753,41.4,34800.0,2.84,3.33,83.4
Germany,Western Europe,7.155,10.873,0.903,72.5,0.875,0.011,0.46,31.7,47400.0,1.5,3.02,87.9
Canada,North America and ANZ,7.103,10.776,0.926,73.8,0.915,0.089,0.415,31.1,44900.0,1.56,4.83,87.0
Ireland,Western Europe,7.085,11.342,0.947,72.4,0.879,0.077,0.363,31.8,75700.0,1.97,2.98,81.5
Costa Rica,Latin America and Caribbean,7.069,9.88,0.891,71.4,0.934,-0.126,0.809,48.7,16300.0,1.72,7.96,78.3
United Kingdom,Western Europe,7.064,10.707,0.934,72.5,0.859,0.233,0.459,33.2,41100.0,1.87,4.18,86.7
Czech Republic,Central and Eastern Europe,6.965,10.556,0.947,70.807,0.858,-0.208,0.868,25.9,35900.0,1.61,3.12,89.4
United States,North America and ANZ,6.951,11.023,0.92,68.2,0.837,0.098,0.698,41.5,58200.0,1.89,6.64,81.0
Belgium,Western Europe,6.834,10.823,0.906,72.199,0.783,-0.153,0.646,27.7,44200.0,1.81,3.26,85.9
France,Western Europe,6.69,10.704,0.942,74.0,0.822,-0.147,0.571,32.7,40800.0,1.97,3.74,88.2
Bahrain,Middle East and North Africa,6.647,10.669,0.862,69.495,0.925,0.089,0.722,40.0,42100.0,1.92,6.51,83.7
Malta,Western Europe,6.602,10.674,0.931,72.2,0.927,0.133,0.653,29.4,41300.0,1.51,6.41,82.6
United Arab Emirates,Middle East and North Africa,6.561,11.085,0.844,67.333,0.932,0.074,0.589,40.0,65099.99999999999,1.67,6.97,85.5
Saudi Arabia,Middle East and North Africa,6.494,10.743,0.891,66.603,0.877,-0.149,0.684,40.0,48300.0,2.34,6.28,70.6
Spain,Western Europe,6.491,10.571,0.932,74.7,0.761,-0.081,0.745,36.2,36600.0,1.43,2.75,87.9
Italy,Western Europe,6.483,10.623,0.88,73.8,0.693,-0.084,0.866,35.4,36400.0,1.53,2.73,77.9
Slovenia,Central and Eastern Europe,6.461,10.529,0.948,71.4,0.949,-0.101,0.806,25.4,35600.0,1.67,2.05,91.0
Guatemala,Latin America and Caribbean,6.435,9.053,0.813,64.958,0.906,-0.038,0.775,48.3,7850.0,2.73,23.4,72.0
Uruguay,Latin America and Caribbean,6.431,9.966,0.925,69.1,0.896,-0.092,0.59,39.7,21900.0,1.95,7.02,88.6
Singapore,Southeast Asia,6.377,11.488,0.915,76.953,0.927,-0.018,0.082,40.9,91400.0,1.28,2.54,88.1
Brazil,Latin America and Caribbean,6.33,9.577,0.882,66.601,0.804,-0.071,0.756,51.3,14800.0,1.66,13.1,79.8
Mexico,Latin America and Caribbean,6.317,9.859,0.831,68.597,0.862,-0.147,0.799,45.9,18300.0,2.04,12.1,75.2
Jamaica,Latin America and Caribbean,6.309,9.186,0.877,67.5,0.89,-0.137,0.884,45.5,8440.0,1.94,13.5,86.9
Lithuania,Central and Eastern Europe,6.255,10.499,0.935,67.906,0.773,-0.203,0.826,37.4,34600.0,1.7,3.76,89.5
Cyprus,Western Europe,6.223,10.576,0.802,73.898,0.763,-0.015,0.844,34.0,35700.0,1.34,2.15,89.1
Estonia,Central and Eastern Europe,6.189,10.481,0.941,68.8,0.909,-0.106,0.527,32.7,33800.0,1.69,2.33,88.5
Panama,Latin America and Caribbean,6.18,10.35,0.896,69.652,0.872,-0.166,0.856,50.4,25100.0,2.39,14.3,83.5
Uzbekistan,Commonwealth of Independent States,6.179,8.836,0.918,65.255,0.97,0.311,0.515,33.5,7100.0,2.16,20.0,81.5
Chile,Latin America and Caribbean,6.172,10.071,0.882,70.0,0.742,-0.044,0.83,47.7,23800.0,1.74,6.68,81.0
Poland,Central and Eastern Europe,6.166,10.382,0.898,69.702,0.841,-0.165,0.735,30.8,31700.0,1.29,4.01,85.4
Kazakhstan,Commonwealth of Independent States,6.152,10.155,0.952,65.2,0.853,-0.069,0.733,26.9,26600.0,2.49,8.61,93.6
Romania,Central and Eastern Europe,6.14,10.284,0.832,67.355,0.845,-0.219,0.938,28.3,27200.0,1.57,6.69,81.4
Kuwait,Middle East and North Africa,6.106,10.817,0.843,66.9,0.867,-0.104,0.736,40.0,64200.0,1.93,7.21,79.9
Serbia,Central and Eastern Europe,6.078,9.787,0.873,68.6,0.778,0.002,0.835,34.1,18200.0,1.64,5.01,81.6
El Salvador,Latin America and Caribbean,6.061,9.054,0.762,66.402,0.888,-0.11,0.688,40.0,7710.0,1.98,12.2,77.2
Mauritius,Sub-Saharan Africa,6.049,10.008,0.905,66.701,0.867,-0.054,0.789,35.8,23600.0,1.43,14.3,79.7
Latvia,Central and Eastern Europe,6.032,10.315,0.927,67.1,0.715,-0.162,0.8,34.2,29000.0,1.61,3.55,88.6
Colombia,Latin America and Caribbean,6.012,9.557,0.847,68.001,0.837,-0.135,0.841,50.8,14400.0,1.76,13.1,85.6
Hungary,Central and Eastern Europe,5.992,10.358,0.943,68.0,0.755,-0.186,0.876,30.4,31600.0,1.44,3.88,86.9
